NAME_CONTRACT_TYPE,FLAG_OWN_CAR,FLAG_OWN_REALTY,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,WEEKDAY_APPR_PROCESS_START,ORGANIZATION_TYPE,y_true,y_pred
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Trade: type 7,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Postal,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,FRIDAY,Housing,0,0
Cash loans,N,Y,Unaccompanied,State servant,Incomplete higher,Civil marriage,Office apartment,MONDAY,Business Entity Type 3,1,1
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Self-employed,0,0
Cash loans,Y,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,SATURDAY,XNA,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Self-employed,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Other,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,Business Entity Type 3,1,1
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,TUESDAY,Medicine,0,0
Cash loans,N,Y,Unaccompanied,Working,Higher education,Married,House / apartment,WEDNESDAY,Kindergarten,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Industry: type 9,0,0
Cash loans,Y,N,Unaccompanied,Commercial associate,Higher education,Married,Municipal apartment,TUESDAY,Business Entity Type 3,1,1
Cash loans,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,THURSDAY,XNA,0,0
Cash loans,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,SUNDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,FRIDAY,Other,0,0
Cash loans,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,THURSDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Family,Working,Secondary / secondary special,Widow,House / apartment,WEDNESDAY,Industry: type 9,0,0
Cash loans,N,Y,Family,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Self-employed,1,1
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Transport: type 4,0,0
Cash loans,N,N,Family,State servant,Higher education,Married,With parents,SATURDAY,School,0,0
Cash loans,N,Y,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,THURSDAY,Medicine,0,0
Cash loans,N,N,Unaccompanied,Working,Higher education,Single / not married,With parents,FRIDAY,Business Entity Type 1,0,0
Cash loans,Y,Y,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,SATURDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Government,1,1
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Construction,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,SUNDAY,Transport: type 2,0,0
Cash loans,N,N,Unaccompanied,Working,Incomplete higher,Married,With parents,WEDNESDAY,Kindergarten,1,1
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Widow,House / apartment,FRIDAY,Construction,0,0
Revolving loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,FRIDAY,Self-employed,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Self-employed,0,0
Cash loans,N,Y,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 1,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Self-employed,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Lower secondary,Married,House / apartment,WEDNESDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,FRIDAY,Medicine,0,0
Cash loans,N,N,Children,Pensioner,Secondary / secondary special,Married,House / apartment,TUESDAY,XNA,0,0
Cash loans,N,N,Unaccompanied,State servant,Incomplete higher,Married,House / apartment,WEDNESDAY,Police,0,0
Cash loans,Y,Y,Unaccompanied,Working,Higher education,Married,House / apartment,WEDNESDAY,School,0,0
Revolving loans,N,N,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,FRIDAY,Kindergarten,0,0
Cash loans,N,N,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,MONDAY,XNA,0,0
Cash loans,N,N,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,MONDAY,Business Entity Type 1,0,0
Cash loans,N,N,Family,State servant,Incomplete higher,Married,House / apartment,WEDNESDAY,Police,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Family,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,WEDNESDAY,Self-employed,0,0
Cash loans,N,N,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,WEDNESDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Medicine,0,0
Cash loans,Y,N,Unaccompanied,Working,Lower secondary,Married,House / apartment,TUESDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,THURSDAY,Business Entity Type 3,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,FRIDAY,Security,0,0
Cash loans,N,Y,Family,Working,Secondary / secondary special,Single / not married,House / apartment,THURSDAY,Transport: type 2,0,0
Cash loans,N,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Incomplete higher,Single / not married,House / apartment,FRIDAY,Self-employed,0,0
Cash loans,Y,Y,Unaccompanied,Commercial associate,Higher education,Separated,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,FRIDAY,Self-employed,0,0
Cash loans,N,Y,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,FRIDAY,XNA,0,0
Cash loans,N,Y,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 3,0,0
Cash loans,Y,Y,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,SUNDAY,Industry: type 9,0,0
Cash loans,Y,Y,Family,Pensioner,Secondary / secondary special,Married,House / apartment,WEDNESDAY,XNA,0,0
